"","geneid","gene_name"
"1","FBgn0000008","a"
"2","FBgn0000014","abd-A"
"3","FBgn0000018","abo"
"4","FBgn0000044","Act57B"
"5","FBgn0000045","Act79B"
"6","FBgn0000046","Act87E"
"7","FBgn0000052","Pfas"
"8","FBgn0000053","Gart"
"9","FBgn0000055","Adh"
"10","FBgn0000056","Adhr"
"11","FBgn0000057","adp"
"12","FBgn0000064","Ald1"
"13","FBgn0000077","amx"
"14","FBgn0000078","Amy-d"
"15","FBgn0000083","AnxB9"
"16","FBgn0000084","AnxB10"
"17","FBgn0000100","RpLP0"
"18","FBgn0000109","Aprt"
"19","FBgn0000116","Argk"
"20","FBgn0000139","ash2"
"21","FBgn0000150","awd"
"22","FBgn0000152","Axs"
"23","FBgn0000153","b"
"24","FBgn0000163","baz"
"25","FBgn0000183","BicD"
"26","FBgn0000229","bsk"
"27","FBgn0000239","bur"
"28","FBgn0000244","by"
"29","FBgn0000253","Cam"
"30","FBgn0000256","capu"
"31","FBgn0000261","Cat"
"32","FBgn0000279","CecC"
"33","FBgn0000286","Cf2"
"34","FBgn0000316","cin"
"35","FBgn0000318","cl"
"36","FBgn0000326","clt"
"37","FBgn0000339","cni"
"38","FBgn0000377","crn"
"39","FBgn0000382","csw"
"40","FBgn0000394","cv"
"41","FBgn0000395","cv-2"
"42","FBgn0000406","Cyt-b5-r"
"43","FBgn0000422","Ddc"
"44","FBgn0000426","SmF"
"45","FBgn0000447","Dhod"
"46","FBgn0000454","Dip-B"
"47","FBgn0000455","Dip-C"
"48","FBgn0000473","Cyp6a2"
"49","FBgn0000477","DNaseII"
"50","FBgn0000479","dnc"
"51","FBgn0000489","Pka-C3"
"52","FBgn0000490","dpp"
"53","FBgn0000492","Dr"
"54","FBgn0000504","dsx"
"55","FBgn0000520","dwg"
"56","FBgn0000533","ea"
"57","FBgn0000536","eas"
"58","FBgn0000547","ed"
"59","FBgn0000557","eEF1alpha2"
"60","FBgn0000559","eEF2"
"61","FBgn0000566","Eip55E"
"62","FBgn0000567","Eip74EF"
"63","FBgn0000568","Eip75B"
"64","FBgn0000575","emc"
"65","FBgn0000579","Eno"
"66","FBgn0000592","Est-6"
"67","FBgn0000611","exd"
"68","FBgn0000618","e(y)2"
"69","FBgn0000635","Fas2"
"70","FBgn0000636","Fas3"
"71","FBgn0000667","Actn"
"72","FBgn0000719","fog"
"73","FBgn0000723","FER"
"74","FBgn0000964","tj"
"75","FBgn0001089","Gal"
"76","FBgn0001090","bnb"
"77","FBgn0001091","Gapdh1"
"78","FBgn0001092","Gapdh2"
"79","FBgn0001098","Gdh"
"80","FBgn0001104","Galphai"
"81","FBgn0001123","Galphas"
"82","FBgn0001124","Got1"
"83","FBgn0001125","Got2"
"84","FBgn0001128","Gpdh1"
"85","FBgn0001137","grk"
"86","FBgn0001142","Gs1"
"87","FBgn0001145","Gs2"
"88","FBgn0001149","GstD1"
"89","FBgn0001168","h"
"90","FBgn0001179","hay"
"91","FBgn0001185","her"
"92","FBgn0001186","Hex-A"
"93","FBgn0001187","Hex-C"
"94","FBgn0001189","hfw"
"95","FBgn0001202","hook"
"96","FBgn0001208","Hn"
"97","FBgn0001215","Hrb98DE"
"98","FBgn0001218","Hsc70-3"
"99","FBgn0001230","Hsp68"
"100","FBgn0001233","Hsp83"
"101","FBgn0001234","lncRNA:Hsromega"
"102","FBgn0001235","hth"
"103","FBgn0001247","Ide"
"104","FBgn0001248","Idh"
"105","FBgn0001250","if"
"106","FBgn0001257","ImpL2"
"107","FBgn0001258","Ldh"
"108","FBgn0001280","janA"
"109","FBgn0001291","Jra"
"110","FBgn0001296","kar"
"111","FBgn0001297","kay"
"112","FBgn0001301","kel"
"113","FBgn0001324","kto"
"114","FBgn0001341","Mybbp1A"
"115","FBgn0001491","l(1)10Bb"
"116","FBgn0001565","Hlc"
"117","FBgn0001624","dlg1"
"118","FBgn0001977","CIAPIN1"
"119","FBgn0001987","Gli"
"120","FBgn0001989","ND-B17"
"121","FBgn0002021","l(2)37Bb"
"122","FBgn0002022","Catsup"
"123","FBgn0002036","CG10561"
"124","FBgn0002284","Prosbeta6"
"125","FBgn0002306","sas"
"126","FBgn0002354","l(3)87Df"
"127","FBgn0002521","pho"
"128","FBgn0002524","lace"
"129","FBgn0002526","LanA"
"130","FBgn0002543","robo2"
"131","FBgn0002565","Lsp2"
"132","FBgn0002566","lt"
"133","FBgn0002567","Rab32"
"134","FBgn0002579","RpL36"
"135","FBgn0002593","RpLP1"
"136","FBgn0002622","RpS3"
"137","FBgn0002626","RpL32"
"138","FBgn0002719","Men"
"139","FBgn0002736","mago"
"140","FBgn0002772","Mlc1"
"141","FBgn0002773","Mlc2"
"142","FBgn0002780","mod"
"143","FBgn0002787","Rpn8"
"144","FBgn0002789","Mp20"
"145","FBgn0002791","mr"
"146","FBgn0002868","MtnA"
"147","FBgn0002869","MtnB"
"148","FBgn0002914","Myb"
"149","FBgn0002921","Atpalpha"
"150","FBgn0002930","nec"
"151","FBgn0003008","or"
"152","FBgn0003015","osk"
"153","FBgn0003016","osp"
"154","FBgn0003041","pbl"
"155","FBgn0003048","pcx"
"156","FBgn0003053","peb"
"157","FBgn0003062","Fib"
"158","FBgn0003067","Pepck1"
"159","FBgn0003068","per"
"160","FBgn0003071","Pfk"
"161","FBgn0003074","Pgi"
"162","FBgn0003076","Pgm1"
"163","FBgn0003082","phr"
"164","FBgn0003093","Pkc98E"
"165","FBgn0003116","pn"
"166","FBgn0003118","pnt"
"167","FBgn0003137","Ppn"
"168","FBgn0003139","PpV"
"169","FBgn0003141","pr"
"170","FBgn0003149","Prm"
"171","FBgn0003159","CG2841"
"172","FBgn0003162","Pu"
"173","FBgn0003169","put"
"174","FBgn0003175","px"
"175","FBgn0003206","Ras64B"
"176","FBgn0003209","raw"
"177","FBgn0003231","ref(2)P"
"178","FBgn0003256","rl"
"179","FBgn0003257","r-l"
"180","FBgn0003261","Rm62"
"181","FBgn0003274","RpLP2"
"182","FBgn0003278","RpI135"
"183","FBgn0003279","RpL4"
"184","FBgn0003301","rut"
"185","FBgn0003308","ry"
"186","FBgn0003330","Sce"
"187","FBgn0003345","sd"
"188","FBgn0003346","RanGAP"
"189","FBgn0003353","sei"
"190","FBgn0003360","sesB"
"191","FBgn0003366","sev"
"192","FBgn0003390","shf"
"193","FBgn0003392","shi"
"194","FBgn0003423","slgA"
"195","FBgn0003444","smo"
"196","FBgn0003449","snf"
"197","FBgn0003462","Sod1"
"198","FBgn0003463","sog"
"199","FBgn0003479","spn-A"
"200","FBgn0003507","srp"
"201","FBgn0003511","Sry-beta"
"202","FBgn0003512","Sry-delta"
"203","FBgn0003514","sqh"
"204","FBgn0003517","sta"
"205","FBgn0003559","su(f)"
"206","FBgn0003567","su(Hw)"
"207","FBgn0003575","su(sable)"
"208","FBgn0003607","Su(var)205"
"209","FBgn0003651","svp"
"210","FBgn0003656","sws"
"211","FBgn0003676","CCT1"
"212","FBgn0003721","Tm1"
"213","FBgn0003731","Egfr"
"214","FBgn0003748","Treh"
"215","FBgn0003867","tsl"
"216","FBgn0003882","tub"
"217","FBgn0003888","betaTub60D"
"218","FBgn0003890","betaTub97EF"
"219","FBgn0003941","RpL40"
"220","FBgn0003943","Ubi-p63E"
"221","FBgn0003944","Ubx"
"222","FBgn0003961","Uro"
"223","FBgn0003963","ush"
"224","FBgn0003969","vap"
"225","FBgn0004045","Yp1"
"226","FBgn0004047","Yp3"
"227","FBgn0004055","uzip"
"228","FBgn0004057","Zw"
"229","FBgn0004066","Prosalpha4"
"230","FBgn0004117","Tm2"
"231","FBgn0004132","boca"
"232","FBgn0004169","up"
"233","FBgn0004179","Csp"
"234","FBgn0004192","snRNA:U2:34ABb"
"235","FBgn0004237","Hrb87F"
"236","FBgn0004240","DptA"
"237","FBgn0004359","T48"
"238","FBgn0004364","18w"
"239","FBgn0004368","Ptp4E"
"240","FBgn0004369","Ptp99A"
"241","FBgn0004370","Ptp10D"
"242","FBgn0004380","Klp64D"
"243","FBgn0004396","CrebA"
"244","FBgn0004397","Vinc"
"245","FBgn0004403","RpS14a"
"246","FBgn0004404","RpS14b"
"247","FBgn0004407","DNApol-gamma35"
"248","FBgn0004432","Cyp1"
"249","FBgn0004435","Galphaq"
"250","FBgn0004436","Ubc6"
"251","FBgn0004449","Ten-m"
"252","FBgn0004456","mew"
"253","FBgn0004463","RpIII128"
"254","FBgn0004465","Su(P)"
"255","FBgn0004507","GlyP"
"256","FBgn0004556","Dbp73D"
"257","FBgn0004569","aos"
"258","FBgn0004583","ex"
"259","FBgn0004597","CycC"
"260","FBgn0004611","Plc21C"
"261","FBgn0004620","GluRIIA"
"262","FBgn0004622","TkR99D"
"263","FBgn0004629","Cys"
"264","FBgn0004638","drk"
"265","FBgn0004646","ogre"
"266","FBgn0004648","svr"
"267","FBgn0004654","Pgd"
"268","FBgn0004657","mys"
"269","FBgn0004687","Mlc-c"
"270","FBgn0004698","Xpc"
"271","FBgn0004797","mdy"
"272","FBgn0004811","fs(2)ltoPP43"
"273","FBgn0004828","His3.3B"
"274","FBgn0004852","Ac76E"
"275","FBgn0004856","Bx42"
"276","FBgn0004858","elB"
"277","FBgn0004859","ci"
"278","FBgn0004861","ph-p"
"279","FBgn0004867","RpS2"
"280","FBgn0004885","tok"
"281","FBgn0004888","Scsalpha1"
"282","FBgn0004893","bowl"
"283","FBgn0004901","Prat"
"284","FBgn0004907","14-3-3zeta"
"285","FBgn0004908","Arl2"
"286","FBgn0004910","Eip63F-1"
"287","FBgn0004914","Hnf4"
"288","FBgn0004915","TfIIB"
"289","FBgn0004921","Ggamma1"
"290","FBgn0005278","Sam-S"
"291","FBgn0005322","nmd"
"292","FBgn0005355","Su(fu)"
"293","FBgn0005391","Yp2"
"294","FBgn0005411","U2af50"
"295","FBgn0005427","ewg"
"296","FBgn0005533","RpS17"
"297","FBgn0005536","Mbs"
"298","FBgn0005593","RpL7"
"299","FBgn0005612","Sox14"
"300","FBgn0005626","ple"
"301","FBgn0005648","Pabp2"
"302","FBgn0005659","Ets98B"
"303","FBgn0005666","bt"
"304","FBgn0005672","spi"
"305","FBgn0005674","GluProRS"
"306","FBgn0005777","PpD3"
"307","FBgn0010015","CanA1"
"308","FBgn0010019","Cyp4g1"
"309","FBgn0010038","GstD2"
"310","FBgn0010039","GstD3"
"311","FBgn0010051","Itpr"
"312","FBgn0010053","Jheh1"
"313","FBgn0010078","RpL23"
"314","FBgn0010173","RpA-70"
"315","FBgn0010198","RpS15Aa"
"316","FBgn0010213","Sod2"
"317","FBgn0010215","alpha-Cat"
"318","FBgn0010217","ATPsynbeta"
"319","FBgn0010220","Dbp45A"
"320","FBgn0010225","Gel"
"321","FBgn0010226","GstS1"
"322","FBgn0010228","HmgZ"
"323","FBgn0010238","Lac"
"324","FBgn0010246","Myo61F"
"325","FBgn0010263","Rbp9"
"326","FBgn0010265","RpS13"
"327","FBgn0010292","bys"
"328","FBgn0010340","140up"
"329","FBgn0010348","Arf79F"
"330","FBgn0010350","Cds"
"331","FBgn0010352","Nc73EF"
"332","FBgn0010357","betaTry"
"333","FBgn0010383","Cyp18a1"
"334","FBgn0010385","Def"
"335","FBgn0010387","Acbp2"
"336","FBgn0010388","Dro"
"337","FBgn0010391","SrpRalpha"
"338","FBgn0010397","LamC"
"339","FBgn0010406","RNaseX25"
