"","geneid","genename","geneindex","pval_cycle_25C","pval_cycle_18C","pval_cycle_diff","pval_phase_diff","pval_amp_diff","pval_median_diff","type","model","TRUE_lambda","typematch","TransSig","dAICc","nextmodel"
"73","FBgn0026086","Adar",829,0.291,0.007,0.002,0.784,0.002,0,8,"08f",0.997979454356496,1,1,0.576235517420116,"02p"
"131","FBgn0259938","cwo",4065,0,0.034,0.065,0.172,0.434,0,14,"14f",0.848133491682391,1,1,0.24299353793549,"16f"
"41","FBgn0011656","Mef2",398,0.118,0.472,0.127,0.33,0.922,0.002,2,"02f",0.402929506228723,1,1,0.107469593815722,"12f"
"32","FBgn0005536","Mbs",297,0.004,0.027,0.579,0.608,0.392,0.002,14,"14f",0.368473174140291,1,1,0.302030059604022,"14p"
"61","FBgn0023076","Clk",693,0,0,0,0,0,0,16,"16f",0.308226546759004,1,1,11.9834851779738,"16p"
"54","FBgn0016076","vri",560,0,0,0,0,0.29,0,16,"16f",0.306094710426281,1,1,10.5474662548877,"15f"
"121","FBgn0043903","dome",3544,0.708,0.649,0.515,0.856,0.414,0.036,2,"02f",0.160429563865438,1,1,1.71977801025253,"01f"
"110","FBgn0038857","Bdbt",3119,0.213,0.472,0.5,0.374,0.808,0,2,"02f",0.159597891912786,1,1,0.594835100840726,"08f"
"16","FBgn0003068","per",159,0,0,0.003,0,0.986,0,16,"16f",0.0734249514576213,1,1,14.9124360903525,"14f"
"70","FBgn0025680","cry",798,0,0,0.342,0.208,0.656,0.002,14,"14f",0.0710893374055972,1,1,1.18677630100672,"16f"
"26","FBgn0004611","Plc21C",260,0.603,0.967,0.789,0.894,0.594,0,2,"02f",0.0698251109011615,1,1,1.96226649690726,"02p"
"11","FBgn0001233","Hsp83",100,0.112,0.02,0.022,0.068,0.15,0.042,8,"08f",0.0625006207648867,1,1,1.0308032591139,"16f"
"48","FBgn0014396","tim",482,0,0,0,0,0,0.002,16,"16f",0.0405901390935124,1,1,9.23711795901852,"15f"
"49","FBgn0015221","Fer2LCH",507,0.381,0.92,0.863,0.814,0.452,0,2,"02f",0.0393856223846504,1,1,2.86611366958732,"12f"
"118","FBgn0041100","park",3493,0.866,0.256,0.5,0.602,0.83,0,2,"02f",0.0373412699467595,1,1,3.85340511726241,"08f"
"56","FBgn0016694","Pdp1",573,0,0,0,0,0,0,16,"16p",Inf,1,0,0.234428358647961,"16f"
"67","FBgn0024846","p38b",752,0.03,0.029,0.01,0.022,0.226,0.638,15,"15p",Inf,1,0,0.186253925148833,"13p"
"5","FBgn0000479","dnc",50,0.037,0.066,0.003,0.55,0.882,0.86,11,"11p",Inf,1,0,1.30166689856941,"01p"
"13","FBgn0001624","dlg1",117,0.66,0.277,0.368,0.516,0.612,0.05,2,"02p",Inf,1,0,0.768567112140715,"02f"
"37","FBgn0011204","cue",373,0.001,0,0.444,0.188,0.834,0.76,13,"13p",0,1,0,1.94899943920882,"15p"
"99","FBgn0035802","Pura",2449,0.508,0.401,0.858,0.678,0.938,0.91,1,"01p",0,1,0,0.419310916491042,"01f"
"152","FBgn0263397","Ih",4304,0.224,0.009,0.911,0.866,0.806,0.006,6,"14f",0.548912999053126,0,1,3.82842800035593,"08f"
"9","FBgn0000635","Fas2",69,0.705,0,0.074,0.88,0.032,0.014,6,"08f",0.426036797628257,0,1,3.87905349075004,"14p"
"52","FBgn0015544","spag",523,0.512,0.007,0.006,0.684,0.002,0.068,7,"08f",0.30612779122556,0,1,0.228981698773111,"07f"
"76","FBgn0027348","bgm",898,0.006,0.004,0.022,0.018,0.694,0.128,15,"13f",0.298598298255173,0,1,0.357905459483163,"16f"
"83","FBgn0030555","Fbxl4",1255,0.142,0,0,0.066,0.198,0.154,7,"08f",0.248999030573543,0,1,0.163978170730331,"16f"
"124","FBgn0051324","CG31324",3665,0,0,0,0,0.058,0.058,15,"16f",0.247739465038358,0,1,1.81960855907647,"15f"
"133","FBgn0260753","Pdfr",4108,0.093,0.692,0.69,0.67,0.718,0.14,1,"02f",0.186926117006221,0,1,2.2217301314198,"01f"
"87","FBgn0031652","jet",1497,0.007,0.749,0.152,0.686,0.256,0,10,"12f",0.100556427588019,0,1,1.63645000525162,"14f"
"136","FBgn0261403","sxc",4165,0.024,0.059,0.173,0.116,0.82,0,10,"14f",0.0703989122610877,0,1,1.40914807735402,"08f"
"69","FBgn0025394","inc",774,0.002,0.195,0.4,0.244,0.198,0,10,"14f",0.0501312574810971,0,1,1.11650587479409,"16f"
"155","FBgn0264492","CkIIalpha",4340,0,0.118,0.113,0.026,0.244,0,10,"08f",0.0411631675848707,0,1,0.370677955874157,"16f"
"60","FBgn0022382","Pka-R2",678,0.074,0.851,0.313,0.966,0.924,0.166,1,"02f",0.0405560133762494,0,1,0.40023361589698,"01f"
"111","FBgn0038870","Oga",3125,0.102,0.232,0.034,0.28,0.36,0.942,3,"07f",0.0386266422238053,0,1,0.596198624139163,"15f"
"92","FBgn0033528","trsn",1941,0.082,0.457,0.219,0.36,0.626,0,2,"08f",0.037005885349285,0,1,0.419680720365591,"02f"
"116","FBgn0040071","tara",3404,0.012,0.02,0.359,0.474,0.158,0.3,13,"11f",0.0315578251631022,0,1,0.379118937861278,"13f"
"8","FBgn0000575","emc",64,0.068,0.086,0.905,0.858,0.436,0.682,1,"02f",0.03,0,1,0.0301371018747432,"13f"
"38","FBgn0011205","fbl",374,0.352,0.367,0.203,0.776,0.19,0.304,1,"02f",0.03,0,1,0.436467475200175,"01f"
"78","FBgn0028622","qsm",1008,0.001,0.029,0.113,0.052,0.51,0.722,13,"15p",Inf,0,0,2.29624269989813,"16p"
"81","FBgn0029891","Pink1",1119,0.001,0.012,0.05,0.04,0.418,0,16,"14p",Inf,0,0,1.61338154377211,"14f"
"141","FBgn0262103","Sik3",4226,0,0.495,0.15,0.338,0.534,0.002,10,"14p",Inf,0,0,1.27351759965251,"12f"
"17","FBgn0003301","rut",184,0.05,0.559,0.052,0.584,0.576,0.028,10,"12p",Inf,0,0,1.65846745137605,"02p"
"43","FBgn0013303","Nca",423,0.046,0.916,0.351,0.714,0.638,0.442,9,"11p",Inf,0,0,0.762690025953475,"12p"
"55","FBgn0016122","Acer",564,0.874,0.165,0.295,0.924,0.554,0.136,1,"08p",Inf,0,0,2.46249082809697,"02p"
"80","FBgn0029823","Shmt",1101,0.991,0.28,0.483,0.92,0.46,0.074,1,"08p",Inf,0,0,4.50905792450919,"16p"
"108","FBgn0038582","CG7988",3060,0.787,0.019,0.052,0.752,0.226,0,6,"08p",Inf,0,0,2.91989071383631,"16p"
"139","FBgn0261808","cu",4206,0.034,0.063,0,0.476,0.512,0.21,11,"02p",Inf,0,0,1.68189621973499,"16f"
"156","FBgn0265042","Irk1",4369,0.23,0.007,0.017,0.768,0.362,0.004,8,"02p",Inf,0,0,0.0113177658305972,"01p"
"117","FBgn0040382","CG5273",3438,0.001,0.817,0.529,0.622,0.386,0.104,9,"13p",0,0,0,0.114209778913846,"12p"
"12","FBgn0001297","kay",111,0.011,0.67,0.031,0.7,0.336,0.278,11,"01p",0,0,0,1.00698786022622,"11p"
"97","FBgn0035023","ITP",2278,0.98,0.117,0.259,0.894,0.182,0.006,2,"01p",0,0,0,0.877005998686627,"02p"
"105","FBgn0036927","Gabat",2682,0.679,0.003,0.007,0.666,0.006,0,8,"01p",0,0,0,0.418891139245716,"08f"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
