"","geneid","genename","geneindex","pval_cycle_25C","pval_cycle_18C","pval_cycle_diff","pval_phase_diff","pval_amp_diff","pval_median_diff","type","model","TRUE_lambda","typematch","TransSig","dAICc","nextmodel"
"59","FBgn0026086","Adar",829,0.291,0.007,0.002,0.784,0.002,0,8,"08f",0.997979454356496,1,1,0.576235517420116,"02p"
"50","FBgn0023000","mth",691,0.427,0.497,0.293,0.872,0.348,0,2,"02f",0.635311203497177,1,1,1.71906630522739,"12f"
"1","FBgn0000229","bsk",26,0.286,0.463,0.222,0.65,0.648,0,2,"02f",0.491579900570389,1,1,2.84855216587675,"12f"
"51","FBgn0023076","Clk",693,0,0,0,0,0,0,16,"16f",0.308226546759004,1,1,11.9834851779738,"16p"
"85","FBgn0035110","thoc7",2301,0.122,0.002,0,0.492,0.146,0.02,8,"08f",0.190212572874829,1,1,2.75525009434648,"07f"
"27","FBgn0005626","ple",300,0.048,0.789,0.05,0.614,0.04,0.028,12,"12f",0.129927143045196,1,1,4.35976517507333,"11f"
"98","FBgn0038145","Droj2",2974,0.024,0.013,0.465,0.4,0.574,0,14,"14f",0.129733069391442,1,1,3.79592394799488,"08f"
"48","FBgn0019949","Cdk9",605,0.148,0.08,0.096,0.128,0.126,0,2,"02f",0.100162760493697,1,1,1.27159113219898,"12f"
"84","FBgn0034939","thoc5",2267,0.786,0.295,0.44,0.638,0.33,0,2,"02f",0.0996998348678587,1,1,0.291129898072029,"08f"
"19","FBgn0003068","per",159,0,0,0.003,0,0.986,0,16,"16f",0.0734249514576213,1,1,14.9124360903525,"14f"
"95","FBgn0037382","Hpr1",2790,0,0.395,0.014,0.212,0.814,0.386,11,"11f",0.0695288467104279,1,1,0.549893374388603,"16f"
"12","FBgn0001233","Hsp83",100,0.112,0.02,0.022,0.068,0.15,0.042,8,"08f",0.0625006207648867,1,1,1.0308032591139,"16f"
"79","FBgn0033761","CG8778",1994,0.265,0.843,0.919,0.812,0.64,0,2,"02f",0.0394680481423094,1,1,2.95659901505434,"12f"
"32","FBgn0011296","l(2)efl",386,0.023,0,0,0.004,0.258,0,16,"16f",0.0390149263038606,1,1,11.432951927034,"14f"
"55","FBgn0024509","Sec13",742,0.747,0,0,0.604,0.024,0,8,"08f",0.0306157503971381,1,1,4.31239865743203,"16f"
"109","FBgn0044810","TotX",3552,0.057,0.203,0.379,0.216,0.19,0,2,"02f",0.03,1,1,0.349080783186537,"14f"
"56","FBgn0024846","p38b",752,0.03,0.029,0.01,0.022,0.226,0.638,15,"15p",Inf,1,0,0.186253925148833,"13p"
