"","geneid","gene_name","type","AICc_01full","AICc_02full","AICc_07full","AICc_08full","AICc_11full","AICc_12full","AICc_13full","AICc_14full","AICc_15full","AICc_16full","AICc_01partial","AICc_02partial","AICc_07partial","AICc_08partial","AICc_11partial","AICc_12partial","AICc_13partial","AICc_14partial","AICc_15partial","AICc_16partial","model","TRUE_lambda"
"2","FBgn0000008","a",2,327.561572799003,280.083420661437,331.19633645462,284.570509825156,332.095061836494,284.83243572362,331.82505974471,284.878202515538,336.153452305631,288.328569219379,326.656945740164,292.041450470869,328.014687631162,299.960348552241,328.762086434444,316.017479350094,329.77940249384,295.977253204116,331.84399675605,302.559950945802,"02f",0.03
"18","FBgn0000045","Act79B",2,648.385742944127,587.875796668891,645.846804490861,591.881848856705,652.898031741533,590.684064171416,649.081885595221,590.886195482682,650.006763848645,594.999424447059,650.52267088581,632.642438381286,652.631619901968,633.190639533703,652.63776142907,643.104282014192,652.378471718972,633.915373585705,654.618880926133,637.612862112438,"02f",0.0314212202094698
"34","FBgn0000083","AnxB9",2,829.63555705383,815.959169235187,833.89474147646,819.927107133785,830.201840347201,818.366177159228,831.190495384715,820.200489758147,834.136267687061,822.248918134272,827.28214061549,812.581117679701,827.427914067147,819.2708708988,824.394624130387,815.966425348773,825.480794637913,815.780225701771,826.972722916614,818.42550517592,"02p",Inf
"41","FBgn0000109","Aprt",16,593.720497548176,589.855003379378,590.85247751573,586.24889036035,588.195093998351,583.278493243004,597.301015228207,590.769216243753,584.758712387874,578.378020193604,590.963188354878,589.20490687824,593.078278898137,588.863987180492,592.748210016003,580.70500496288,593.708309955068,591.376251540232,595.867264049713,583.252091891882,"16f",0.0396423309798897
"73","FBgn0000229","bsk",2,449.138126921211,413.988205453408,452.157311267445,417.848323573901,447.88893105522,416.836757619285,447.641889045308,417.209559502276,451.028400336458,421.134346429602,447.542426503741,418.936112728523,449.525167250836,433.775473876251,448.625309417642,431.087534836145,448.392135561905,420.698042763865,449.151311327969,433.0309033585,"02f",0.491579900570389
"75","FBgn0000239","bur",14,576.440451304502,559.454081115975,577.769374308875,553.823480838648,571.098271554849,555.404346728578,571.332688763268,550.672763315703,572.476790384575,549.670874203077,574.594715595283,555.064351124303,576.435162589652,566.145296546077,569.223270771599,557.155922540534,573.372909852407,546.956240878696,573.457003229198,556.573802095127,"14p",Inf
"124","FBgn0000382","csw",2,538.798740884715,535.785006626466,541.375173764037,538.326951684896,541.134454157529,539.155313022521,543.274290850954,538.929594448349,545.07368741017,541.926795424437,538.415818931867,531.729039072985,540.339194229486,536.513355786801,538.835369133123,535.091716120475,541.335846282579,534.434445747631,542.534035744046,538.067810748161,"02p",Inf
"151","FBgn0000477","DNaseII",8,733.361443949002,671.503492093214,721.029790679939,663.948943790345,737.53466763982,673.530239870556,732.077348706741,668.290822621403,725.921023126628,666.771739133269,733.244027053272,712.921411220116,732.056294834655,700.195294496022,734.869234325297,730.521856960913,731.893469307036,714.724603297291,731.085548932452,704.735230854607,"08f",0.03
"155","FBgn0000490","dpp",8,414.932434734904,407.585309760594,402.463247166205,398.175473965928,415.098184566538,409.695048308135,411.31193253134,408.631562991633,401.115430931271,400.357241634176,417.119039704213,403.194768782806,418.943230258406,401.114540760978,418.682000750703,406.575137145848,415.865353212071,406.197906859445,417.758596993582,402.744470273684,"08f",0.249858166986951
"160","FBgn0000520","dwg",7,280.107108370229,282.299566380749,277.994580938404,280.27828410292,283.016270016319,285.145551533881,282.645855195045,284.813556728239,282.30384424325,284.292637874897,288.72558276707,288.842957688279,290.42797731619,286.999322597113,290.84067331033,290.694067286105,292.702039039171,291.343813169243,294.740531023672,291.200365262545,"07f",0.425875563452978
