"","geneid","gene_name","type","AICc_01full","AICc_02full","AICc_07full","AICc_08full","AICc_11full","AICc_12full","AICc_13full","AICc_14full","AICc_15full","AICc_16full","AICc_01partial","AICc_02partial","AICc_07partial","AICc_08partial","AICc_11partial","AICc_12partial","AICc_13partial","AICc_14partial","AICc_15partial","AICc_16partial","model","TRUE_lambda"
"1","FBgn0000003","7SLRNA:CR32864",2,871.743618754447,869.503023917604,875.316192651097,872.913021184603,875.325740782044,872.214331186833,874.428882613333,870.913394967246,879.304701342607,875.716817285175,866.199142496225,865.470806697558,868.312333701866,868.845219910848,867.962921529355,866.59450167933,870.029494444733,867.843742450179,872.098645732585,870.429205498464,"02p",Inf
"2","FBgn0000008","a",2,327.561572799003,280.083420661437,331.19633645462,284.570509825156,332.095061836494,284.83243572362,331.82505974471,284.878202515538,336.153452305631,288.328569219379,326.656945740164,292.041450470869,328.014687631162,299.960348552241,328.762086434444,316.017479350094,329.77940249384,295.977253204116,331.84399675605,302.559950945802,"02f",0.03
"3","FBgn0000014","abd-A",15,466.443507345156,467.421979368453,468.184608031967,467.114946393354,460.994583645019,462.709579124381,468.347930770636,470.651000831792,462.707361385586,462.787883920879,462.292668068164,464.095966694116,463.005186412161,465.179297635704,464.212360853942,464.488680015791,463.141580997979,465.170069833772,465.095228461911,465.233918082793,"11f",0.523243913944541
"5","FBgn0000017","Abl",8,345.49918695542,337.50265730502,347.79512656632,334.943357975923,348.468764719984,341.049911973927,346.236024787437,340.627476056119,350.378799953603,338.460243061792,340.621445354999,339.622904381233,342.575996351973,343.435659111024,342.003272583818,342.359247980499,344.132060727934,343.611348512647,345.929089964062,346.56239740226,"08f",0.0402108872408274
"6","FBgn0000018","abo",5,304.263837857729,304.30465627231,306.179141409058,299.304202544795,307.297288459724,308.477332626481,304.97618891721,303.245632973627,308.386447952022,304.386891521769,317.049016534066,316.307866787309,316.307866787309,316.660760542635,319.158272723125,320.538544561738,315.770084846524,317.110949799431,317.343584664305,318.861038022925,"08f",0.03
"10","FBgn0000032","Acph-1",2,452.16199379323,447.174925098961,454.829139847191,445.39577809545,454.835308733008,451.858375484228,453.865660301506,450.444748702884,457.871049498867,450.494898647436,446.323644002519,443.775484713725,448.413174901868,446.852963588169,446.945348681985,446.610423825877,449.283854140551,447.155472413161,451.103451388705,449.64984600435,"02p",Inf
"15","FBgn0000042","Act5C",2,1001.92914509741,977.407623814776,1002.47630843632,979.012391024561,1005.91950842722,980.838118033838,1001.89035957367,980.365154746966,1006.06874149892,982.549928757051,1004.99176532248,983.603949210559,1002.81037506353,996.388842887004,1006.95674470807,996.699871149796,1004.32461711203,983.368486465426,1005.65908030991,996.112600105491,"02f",0.1948218395956
"16","FBgn0000043","Act42A",2,764.999512646396,760.172405816084,768.246885773741,763.796897388511,768.377115894655,763.210753654463,767.372244042188,763.076545936887,772.250972143129,766.863067304924,759.963344161906,757.919193328634,762.02585708403,761.319862212766,761.89861012162,762.994143738792,763.220451066552,761.366665404298,765.251436455748,765.763488067087,"02p",Inf
"17","FBgn0000044","Act57B",8,1105.06646805307,1104.60744750845,1102.83268731819,1099.15980913423,1106.36354983851,1103.47590274873,1106.77937469915,1106.62987355558,1105.68294190156,1096.17067176815,1110.83840491193,1109.0926564424,1110.30617650391,1107.10901918262,1111.27828715263,1109.74288256536,1108.8612553663,1110.19551669636,1110.21661909813,1110.22155777525,"16f",0.03
"18","FBgn0000045","Act79B",2,648.385742944127,587.875796668891,645.846804490861,591.881848856705,652.898031741533,590.684064171416,649.081885595221,590.886195482682,650.006763848645,594.999424447059,650.52267088581,632.642438381286,652.631619901968,633.190639533703,652.63776142907,643.104282014192,652.378471718972,633.915373585705,654.618880926133,637.612862112438,"02f",0.0314212202094698
