"","geneid","gene_name","int_25C","cos_25C","sin_25C","decaycos","decaysin","decayint","cos_18C","sin_18C","lambda","pval_cycle_25C","pval_cycle_18C","pval_cycle_diff","pval_phase_diff","pval_amp_diff","pval_median_diff","small_tpm","nboot","niter","convergence"
"1","FBgn0000003","7SLRNA:CR32864",103.087224941549,8.02725756727732,8.67013299130738,-42.3114668225681,-56.7240944057575,-3.34419662772876,9.23004268726354,0.173059133260502,0.104784332831704,0.245,0.601,0.885,0.77,0.464,0.02,FALSE,1000,60,TRUE
"2","FBgn0000008","a",5.09126369993967,0.0127427692671874,-0.175938746236783,-0.618781768383164,0.978111968304121,-3.34967060308399,0.465237469924936,0.0930432570703738,0.03,0.797,0.922,0.92,0.89,0.198,0,FALSE,1000,85,TRUE
"3","FBgn0000014","abd-A",19.2089705110928,-4.26969916011191,0.484137948705869,393.152962008633,11.9479912834355,-400.723388051485,6.10629383747815,1.34498010493184,0.966074320461229,0,0.039,0,0.124,0.188,0.102,FALSE,1000,74,TRUE
"4","FBgn0000015","Abd-B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"5","FBgn0000017","Abl",5.48466782187531,-0.322765887931622,0.108382560690366,-1.88621173622255,1.23198431794055,-5.00416918765297,3.05333098100482,-0.548602758689366,0.038941384306432,0.544,0.002,0.003,0.93,0.01,0,FALSE,1000,63,TRUE
"6","FBgn0000018","abo",11.9853696242838,-0.123231619235934,-0.37655296795221,1.4651433468828,0.682887300640591,-3.46780581709839,0.956643337092027,-0.311360610467365,0.03,0.669,0.007,0.335,0.442,0.42,0.086,FALSE,1000,76,TRUE
"7","FBgn0000022","ac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"8","FBgn0000024","Ace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"9","FBgn0000028","acj6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"10","FBgn0000032","Acph-1",18.5933207823134,-0.248037418283932,-0.0691532685824068,-3.97663246999122,5.71546257466926,-4.45182867796492,3.50226692957076,-2.83853603100037,0.03,0.862,0.381,0.398,0.77,0.078,0.014,FALSE,1000,39,TRUE
"11","FBgn0000036","nAChRalpha1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"12","FBgn0000037","mAChR-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"13","FBgn0000038","nAChRbeta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"14","FBgn0000039","nAChRalpha2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"15","FBgn0000042","Act5C",494.184298932124,-3.62007668632459,39.9934884746528,101.111617510956,1084.46976567299,-392.891903960574,56.8922843367424,-28.3636799600699,0.195501949079263,0.409,0.28,0.501,0.414,0.506,0.002,FALSE,1000,75,TRUE
"16","FBgn0000043","Act42A",55.9344793685026,-7.41431872929977,0.757735210842166,253.039683231908,118.411478131438,-292.201051390834,14.4886024758743,7.32040356153486,0.31107628148296,0.224,0.623,0.407,0.536,0.314,0.018,FALSE,1000,52,TRUE
"17","FBgn0000044","Act57B",1441.93532172829,187.440635274688,62.1053026177117,-50.9324221548172,216.783541382574,831.625524851139,-472.210425760947,-38.4787168455658,0.03,0.108,0,0.003,0.314,0.468,0.006,FALSE,1000,61,TRUE
"18","FBgn0000045","Act79B",42.6229441196044,3.57428376120472,2.6100436843865,-17.7214781842752,-9.98435220324232,51.7801790948727,-1.80379898703752,-1.1090248488374,0.03,0.32,0.298,0.704,0.826,0.348,0,FALSE,1000,50,TRUE
"19","FBgn0000046","Act87E",362.741643335597,45.87205253441,36.8407561904936,-107.190145853639,-22.2169055548504,326.961378600403,-59.691311903799,-10.1414668688233,0.0302394354829521,0.011,0.03,0.067,0.028,0.19,0,FALSE,1000,57,TRUE
"20","FBgn0000047","Act88F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"21","FBgn0000052","Pfas",75.2307766240356,-5.20142273869006,-10.4176970459927,19.2192198786063,-10.8450107256964,-44.2290032120938,1.7542128229491,11.4376714988373,0.03,0.03,0.805,0.474,0.684,0.646,0,FALSE,1000,89,TRUE
"22","FBgn0000053","Gart",104.34674724539,-6.36956400835867,-16.9432527343969,25.3165743729747,-62.1602258144703,-68.3959460860477,-16.7588454082926,34.7252133333592,0.035201002363304,0,0.056,0.065,0.026,0.502,0,FALSE,1000,51,TRUE
"23","FBgn0000055","Adh",3736.23418157812,-569.72129630975,303.693274115844,209.347269184659,-1714.14502394263,-597.72638333621,11.3286501347981,48.0542382640087,0.0410136433493743,0.007,0.101,0.994,0.92,0.62,0.288,FALSE,1000,48,TRUE
"24","FBgn0000056","Adhr",22.9679496412734,-0.371485057572906,3.6162555470048,5.65909947591248,-16.9700748092146,-6.42229629839937,-9.66638657318422,3.67106601406034,0.03,0.031,0.014,0.059,0.074,0.034,0,FALSE,1000,74,TRUE
"25","FBgn0000057","adp",24.521666969887,2.29975145194284,0.556236849096049,357.387737105382,30.5538177410872,-354.932491913663,2.04641639688974,0.303757773981843,1.00048640677157,0.028,0.01,0.559,0.976,0.226,0,FALSE,1000,206,TRUE
"26","FBgn0000061","al",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"27","FBgn0000063","Mps1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"28","FBgn0000064","Ald1",981.462148198289,89.8641469854689,51.6153900718174,-54988.7821941227,-17115.6728443866,55160.8399974248,-175.804472513418,-54.9656907233234,0.967715160584297,0.049,0.579,0.178,0.644,0.926,0.964,FALSE,1000,95,TRUE
"29","FBgn0000071","Ama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"30","FBgn0000075","amd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"31","FBgn0000077","amx",19.0280245360189,0.538007862990377,0.147991783275316,45.3561387930542,7.21530451338327,-43.2167631383331,0.00603591980836287,0.308847521752607,0.521990389663645,0.363,0.776,0.905,0.758,0.384,0,FALSE,1000,112,TRUE
"32","FBgn0000078","Amy-d",18.7019389590085,2.23396213158971,-6.53213172425921,21.5591793422974,1.74157345966218,-45.9774445153624,-11.5343169075815,3.39340160380842,0.03,0,0.086,0.058,0.046,0.36,0,FALSE,1000,56,TRUE
"33","FBgn0000079","Amy-p",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"34","FBgn0000083","AnxB9",300.824186532007,5.35857366288048,11.5146621109717,438.294627505097,264.423773820256,-481.956933004521,-12.2088311971502,-17.6571452214001,0.369252809773052,0.449,0.72,0.393,0.92,0.782,0,FALSE,1000,119,TRUE
"35","FBgn0000084","AnxB10",178.970674636592,5.70499448313398,2.55356436747783,-19.531830844906,-110.990718505852,-13.6610077528568,0.627997235980367,3.30840070720923,0.282780464166392,0.22,0.303,0.817,0.754,0.524,0,FALSE,1000,54,TRUE
"36","FBgn0000092","dyw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"37","FBgn0000094","Anp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"38","FBgn0000097","aop",14.9940985698864,-1.40878062772255,0.844643838352465,-7.79985123725979,7.3394581986304,-2.23546221594344,4.44329007673961,-2.62732881043782,0.0396943684203623,0.095,0.001,0,0.948,0.198,0,FALSE,1000,116,TRUE
"39","FBgn0000100","RpLP0",2625.00950769919,-60.288204501385,2.81575671098684,-88.2436422055627,54.8141996408919,675.258709776171,112.769175397565,-25.6978825817834,0.03,0.423,0.583,0.317,0.926,0.666,0,FALSE,1000,107,TRUE
"40","FBgn0000108","Appl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"41","FBgn0000109","Aprt",73.0411906575426,7.20296896707286,-1.46295301263678,21.4378464191179,11.8407619568784,-16.836655434027,-14.8643901496491,-0.9159806555827,0.0396423309798897,0,0.044,0.001,0.546,0.516,0,FALSE,1000,101,TRUE
"42","FBgn0000114","bru1",23.7021734350894,4.25218307498098,-2.0023298773367,-5.34775226074028,20.3003535648194,-18.3152145189738,7.94255041630015,-4.94272480260378,0.03,0.262,0.636,0.875,0.982,0.318,0.122,FALSE,1000,37,TRUE
"43","FBgn0000115","Arl1",65.6875288144575,-1.9081608860643,2.93099033400409,8.72457780294096,13.5128087306506,-23.0752789850614,3.49291392085202,-5.07419145825099,0.0366835535934584,0.257,0.637,0.228,0.978,0.86,0,FALSE,1000,107,TRUE
"44","FBgn0000116","Argk",472.099162499447,18.8557062518646,-9.70106923003034,31.0224106162122,-110.746592104054,92.3562382203752,8.98377687987834,21.3762855872892,0.0696294279429938,0.823,0.181,0.757,0.75,0.808,0,FALSE,1000,37,TRUE
"45","FBgn0000117","arm",111.189798992695,4.31029798281465,-4.98140292799862,245.066556099813,-190.745088278459,-259.7357211127,8.45739196525671,2.07757612949754,0.550264410084874,0.008,0.023,0.224,0.192,0.238,0.304,FALSE,1000,102,TRUE
"46","FBgn0000119","arr",8.10189088409726,0.108109115912599,-0.262531821242734,-255.050576785519,-107.355404437155,255.483954099782,-0.592982268163355,-0.125987854018245,1.00461875057993,0.09,0.069,0.058,0.08,0.294,0.426,FALSE,1000,60,TRUE
"47","FBgn0000120","Arr1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"48","FBgn0000121","Arr2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
