"","Type01","Type02","Type03","Type04","Type05","Type06","Type07","Type08","Type09","Type10","Type11","Type12","Type13","Type14","Type15","Type16"
"1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,999
"2",0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,926
"3",0,0,0,0,0,1,0,284,0,0,0,0,0,15,0,700
"4",0,2,0,1,0,30,0,424,0,2,0,1,0,38,0,502
"5",0,18,0,2,0,91,1,455,0,7,0,0,0,77,1,348
"6",0,34,0,1,0,180,0,428,0,23,0,9,0,71,0,254
"7",0,95,0,6,2,238,2,378,0,25,0,8,0,92,0,154
"8",0,164,0,5,4,255,2,306,1,37,0,21,3,80,0,122
"9",7,215,0,16,11,233,5,243,0,54,0,26,3,83,0,104
"10",15,257,1,21,11,234,9,226,0,45,0,26,3,64,3,85
