"","Type01f","Type02f","Type01p","Type02p","Type07f","Type08f","Type07p","Type08p","Type11f","Type12f","Type11p","Type12p","Type13f","Type14f","Type15f","Type16f","Type13p","Type14p","Type15p","Type16p","other"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,0,2
"2",0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,879,0,0,0,0,105
"3",0,0,0,0,0,118,0,0,0,0,0,0,0,1,0,591,0,0,0,0,290
"4",0,0,0,0,0,207,0,0,0,0,0,0,0,9,0,337,0,0,0,0,447
"5",0,2,0,0,0,235,0,0,0,0,0,0,0,27,0,213,0,0,0,0,523
"6",0,0,0,1,0,248,0,0,0,0,0,0,0,19,0,122,0,3,0,1,606
"7",0,7,0,2,0,216,0,0,0,3,0,0,0,23,0,65,0,8,0,0,676
"8",0,14,0,10,0,165,0,5,0,4,0,0,0,28,0,44,0,7,0,0,723
"9",0,21,0,12,0,110,0,8,0,3,0,0,0,15,0,33,0,11,0,0,787
"10",0,19,0,21,1,107,0,6,0,2,0,0,0,13,1,24,1,5,0,1,799
