"","Type01","Type02","Type03","Type04","Type05","Type06","Type07","Type08","Type09","Type10","Type11","Type12","Type13","Type14","Type15","Type16"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,991
"4",0,0,0,0,0,0,0,0,0,2,0,5,0,72,0,921
"5",0,0,0,0,0,4,0,11,0,8,0,14,0,194,0,769
"6",0,2,0,0,0,8,0,15,0,33,0,37,0,255,0,650
"7",0,17,0,0,0,52,0,38,0,57,0,52,0,297,0,487
"8",1,21,0,4,0,69,2,42,0,104,1,74,0,302,0,380
"9",1,56,0,4,2,111,1,51,1,125,1,96,4,252,4,291
"10",4,75,0,6,5,102,0,82,4,168,2,71,6,243,8,224
