"","Type01f","Type02f","Type01p","Type02p","Type07f","Type08f","Type07p","Type08p","Type11f","Type12f","Type11p","Type12p","Type13f","Type14f","Type15f","Type16f","Type13p","Type14p","Type15p","Type16p","other"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,0,0,0,0,14
"4",0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,867,0,1,0,0,114
"5",0,0,0,0,0,0,0,1,0,5,0,0,0,58,0,618,0,6,0,7,305
"6",0,0,0,0,0,2,0,0,0,5,0,0,0,72,0,423,0,14,0,17,467
"7",0,1,0,0,0,4,0,1,0,14,0,0,0,71,0,244,0,27,0,39,599
"8",0,1,0,0,0,1,0,4,0,21,0,0,0,70,0,143,0,32,0,47,681
"9",0,3,0,0,0,4,0,3,0,39,0,0,0,52,0,83,0,32,0,44,740
"10",0,2,0,1,0,9,0,9,0,20,0,0,0,55,0,57,0,38,0,46,763
