"","x"
"1","FBgn0266421"
"2","FBgn0003941"
"3","FBgn0028689"
"4","FBgn0260632"
"5","FBgn0004066"
"6","FBgn0261396"
"7","FBgn0002787"
"8","FBgn0028691"
"9","FBgn0028688"
"10","FBgn0028684"
"11","FBgn0028686"
"12","FBgn0250746"
"13","FBgn0026380"
"14","FBgn0004436"
"15","FBgn0041100"
"16","FBgn0052369"
"17","FBgn0035853"
"18","FBgn0011217"
"19","FBgn0000008"
"20","FBgn0004888"
"21","FBgn0262559"
"22","FBgn0039112"
"23","FBgn0037873"
"24","FBgn0001258"
"25","FBgn0031684"
"26","FBgn0031436"
"27","FBgn0047038"
"28","FBgn0030605"
"29","FBgn0035046"
"30","FBgn0034645"
"31","FBgn0033246"
"32","FBgn0260972"
"33","FBgn0001124"
"34","FBgn0034417"
"35","FBgn0037186"
"36","FBgn0014032"
"37","FBgn0016687"
"38","FBgn0020385"
"39","FBgn0004057"
"40","FBgn0013348"
"41","FBgn0010423"
"42","FBgn0027580"
"43","FBgn0052068"
"44","FBgn0033853"
"45","FBgn0000566"
"46","FBgn0033214"
"47","FBgn0023537"
"48","FBgn0022709"
"49","FBgn0039360"
"50","FBgn0036857"
"51","FBgn0042641"
"52","FBgn0004797"
"53","FBgn0029118"
"54","FBgn0034215"
"55","FBgn0266268"
"56","FBgn0039698"
"57","FBgn0263398"
"58","FBgn0037765"
"59","FBgn0037534"
"60","FBgn0000239"
"61","FBgn0032923"
"62","FBgn0032482"
"63","FBgn0032076"
"64","FBgn0031703"
"65","FBgn0037164"
"66","FBgn0035632"
"67","FBgn0015033"
"68","FBgn0030367"
"69","FBgn0035344"
"70","FBgn0035266"
"71","FBgn0025592"
"72","FBgn0027610"
"73","FBgn0046114"
"74","FBgn0260746"
"75","FBgn0038830"
"76","FBgn0015035"
"77","FBgn0036449"
"78","FBgn0033883"
"79","FBgn0036942"
"80","FBgn0000109"
"81","FBgn0027584"
"82","FBgn0034405"
"83","FBgn0003656"
"84","FBgn0051472"
"85","FBgn0032721"
"86","FBgn0036659"
"87","FBgn0035356"
"88","FBgn0010786"
"89","FBgn0027579"
"90","FBgn0022942"
"91","FBgn0022943"
"92","FBgn0024509"
"93","FBgn0086361"
"94","FBgn0260945"
"95","FBgn0261108"
"96","FBgn0011760"
"97","FBgn0263316"
"98","FBgn0032026"
"99","FBgn0037341"
"100","FBgn0032167"
"101","FBgn0027505"
"102","FBgn0035762"
"103","FBgn0015794"
"104","FBgn0045866"
"105","FBgn0032216"
"106","FBgn0001230"
"107","FBgn0038145"
"108","FBgn0001218"
"109","FBgn0286784"
"110","FBgn0028475"
"111","FBgn0039890"
"112","FBgn0033755"
"113","FBgn0033807"
"114","FBgn0031936"
"115","FBgn0035696"
"116","FBgn0024957"
"117","FBgn0032946"
"118","FBgn0027524"
"119","FBgn0037020"
"120","FBgn0014396"
"121","FBgn0003068"
"122","FBgn0023076"
"123","FBgn0036916"
"124","FBgn0039757"
"125","FBgn0033842"
"126","FBgn0028554"
"127","FBgn0039626"
"128","FBgn0010051"
