"","Type01","Type02","Type03","Type04","Type05","Type06","Type07","Type08","Type09","Type10","Type11","Type12","Type13","Type14","Type15","Type16"
"1",0,0,0,0,0,0,0,0,0,0,1,0,20,3,882,94
"2",0,0,0,0,0,0,1,0,0,0,1,0,10,10,654,324
"3",0,0,0,0,0,0,0,0,0,0,0,0,7,18,243,732
"4",0,0,0,0,0,0,0,0,0,0,1,0,2,23,38,936
"5",0,0,0,0,0,0,0,0,0,0,0,1,0,27,10,962
"6",0,0,0,0,0,0,0,0,0,0,0,2,0,23,0,975
"7",0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,975
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,985
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,973
"10",0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,976
"11",0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,990
