"","Type01f","Type02f","Type01p","Type02p","Type07f","Type08f","Type07p","Type08p","Type11f","Type12f","Type11p","Type12p","Type13f","Type14f","Type15f","Type16f","Type13p","Type14p","Type15p","Type16p","other"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,13,0,0,122,14,742
"2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,35,0,0,34,172,709
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,121,0,1,5,392,472
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,210,0,1,0,451,336
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,459,0,1,0,230,305
"6",0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,685,0,2,0,91,218
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,819,0,3,0,34,141
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,926,0,1,0,10,58
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,939,0,0,0,2,52
"10",0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,954,0,0,0,1,40
"11",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,975,0,0,0,0,23
