FBtr0475186	CR11023-RE	FBgn0031208	CR11023
FBti0060580-RA	FBti0060580	FBti0060580	FBti0060580
FBtr0078168	l(2)gl-RE	FBgn0002121	l(2)gl
FBtr0078171	l(2)gl-RA	FBgn0002121	l(2)gl
FBtr0078170	l(2)gl-RC	FBgn0002121	l(2)gl
FBtr0306591	l(2)gl-RI	FBgn0002121	l(2)gl
FBtr0306592	l(2)gl-RJ	FBgn0002121	l(2)gl
FBtr0330655	l(2)gl-RK	FBgn0002121	l(2)gl
FBtr0078167	l(2)gl-RD	FBgn0002121	l(2)gl
FBtr0078169	l(2)gl-RF	FBgn0002121	l(2)gl
FBtr0306589	l(2)gl-RG	FBgn0002121	l(2)gl
FBtr0078166	l(2)gl-RB	FBgn0002121	l(2)gl
FBtr0306590	l(2)gl-RH	FBgn0002121	l(2)gl
FBti0059810-RA	FBti0059810	FBti0059810	FBti0059810
FBtr0113008	Ir21a-RB	FBgn0031209	Ir21a
FBtr0309810	asRNA:CR43609-RA	FBgn0263584	asRNA:CR43609
FBti0059812-RA	FBti0059812	FBti0059812	FBti0059812
FBtr0309226	Cda5-RG	FBgn0051973	Cda5
FBtr0078164	Cda5-RB	FBgn0051973	Cda5
FBtr0309228	Cda5-RI	FBgn0051973	Cda5
FBtr0113416	Cda5-RE	FBgn0051973	Cda5
FBtr0309225	Cda5-RF	FBgn0051973	Cda5
FBtr0078163	Cda5-RA	FBgn0051973	Cda5
FBtr0309229	Cda5-RJ	FBgn0051973	Cda5
FBtr0309227	Cda5-RH	FBgn0051973	Cda5
FBti0059814-RA	FBti0059814	FBti0059814	FBti0059814
FBti0019092-RA	FBti0019092	FBti0019092	FBti0019092
FBtr0347585	lncRNA:CR46254-RA	FBgn0267987	lncRNA:CR46254
FBti0059816-RA	FBti0059816	FBti0059816	FBti0059816
FBti0059818-RA	FBti0059818	FBti0059818	FBti0059818
FBti0019093-RA	FBti0019093	FBti0019093	FBti0019093
FBti0059819-RA	FBti0059819	FBti0059819	FBti0059819
FBtr0345732	lncRNA:CR45339-RA	FBgn0266878	lncRNA:CR45339
FBtr0345733	lncRNA:CR45340-RA	FBgn0266879	lncRNA:CR45340
FBtr0306539	dbr-RF	FBgn0067779	dbr
FBtr0306537	dbr-RD	FBgn0067779	dbr
FBtr0306536	dbr-RC	FBgn0067779	dbr
FBtr0306538	dbr-RE	FBgn0067779	dbr
FBtr0078100	dbr-RB	FBgn0067779	dbr
FBtr0344053	asRNA:CR44987-RB	FBgn0266322	asRNA:CR44987
FBtr0344052	asRNA:CR44987-RA	FBgn0266322	asRNA:CR44987
FBtr0306540	galectin-RD	FBgn0031213	galectin
FBtr0078101	galectin-RA	FBgn0031213	galectin
FBtr0331680	galectin-RF	FBgn0031213	galectin
FBtr0302164	galectin-RE	FBgn0031213	galectin
FBtr0301733	galectin-RB	FBgn0031213	galectin
FBtr0306541	CG11374-RC	FBgn0031214	CG11374
FBtr0290323	net-RB	FBgn0002931	net
FBtr0330637	net-RC	FBgn0002931	net
FBtr0078103	Zir-RA	FBgn0031216	Zir
FBtr0078104	CG11377-RA	FBgn0031217	CG11377
FBtr0330636	CG11377-RB	FBgn0031217	CG11377
FBtr0301452	Nhe1-RB	FBgn0026787	Nhe1
FBtr0089437	Sam-S-RE	FBgn0005278	Sam-S
FBtr0330656	Sam-S-RL	FBgn0005278	Sam-S
FBtr0308091	Sam-S-RK	FBgn0005278	Sam-S
FBtr0089428	Sam-S-RB	FBgn0005278	Sam-S
FBtr0089429	Sam-S-RA	FBgn0005278	Sam-S
FBtr0089431	Sam-S-RC	FBgn0005278	Sam-S
FBtr0089430	Sam-S-RD	FBgn0005278	Sam-S
FBtr0089432	Sam-S-RH	FBgn0005278	Sam-S
FBtr0089433	Sam-S-RF	FBgn0005278	Sam-S
FBtr0089435	Sam-S-RJ	FBgn0005278	Sam-S
FBtr0089434	Sam-S-RI	FBgn0005278	Sam-S
FBtr0089436	Sam-S-RG	FBgn0005278	Sam-S
FBtr0330638	ND-15-RG	FBgn0031228	ND-15
FBtr0330639	ND-15-RH	FBgn0031228	ND-15
FBtr0306542	ND-15-RF	FBgn0031228	ND-15
FBtr0078160	CG13694-RA	FBgn0031219	CG13694
FBtr0336838	CG13694-RB	FBgn0031219	CG13694
FBti0060557-RA	FBti0060557	FBti0060557	FBti0060557
FBtr0100307	CG4822-RE	FBgn0031220	CG4822
FBtr0078157	CG4822-RC	FBgn0031220	CG4822
FBtr0100308	CG4822-RF	FBgn0031220	CG4822
FBtr0330646	CG4822-RI	FBgn0031220	CG4822
FBtr0078156	CG4822-RA	FBgn0031220	CG4822
FBtr0078159	CG4822-RB	FBgn0031220	CG4822
FBtr0078158	CG4822-RD	FBgn0031220	CG4822
FBtr0100309	CG4822-RG	FBgn0031220	CG4822
FBtr0100310	CG4822-RH	FBgn0031220	CG4822
FBtr0078154	CG3164-RB	FBgn0025683	CG3164
FBtr0078155	CG3164-RC	FBgn0025683	CG3164
FBtr0100379	CG3164-RD	FBgn0025683	CG3164
FBtr0078153	CG3164-RA	FBgn0025683	CG3164
FBtr0344032	asRNA:CR44969-RA	FBgn0266304	asRNA:CR44969
FBti0060562-RA	FBti0060562	FBti0060562	FBti0060562
FBtr0078114	Gs1-RB	FBgn0001142	Gs1
FBtr0300568	Gs1-RD	FBgn0001142	Gs1
FBtr0078115	Gs1-RC	FBgn0001142	Gs1
FBtr0336836	lncRNA:CR44185-RA	FBgn0265074	lncRNA:CR44185
FBtr0336837	lncRNA:CR44186-RA	FBgn0265075	lncRNA:CR44186
FBtr0346127	ovm-RC	FBgn0051976	ovm
FBtr0302194	ovm-RB	FBgn0051976	ovm
